fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,label
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,bad
9.5,0.63,1.25,57.1,0.309,180.3,286.8,1.0316,3.26,0.6,12.9,bad
10.9,1.25,1.49,43.2,0.222,144.2,150.4,1.0306,3.16,1.15,11.7,good
6.0,0.1,0.24,1.1,0.041,15.0,65.0,0.9927,3.61,0.61,10.3,good
9.8,0.61,1.06,39.3,0.324,165.4,299.0,1.01877,3.32,1.49,12.4,good
6.0,0.2,0.25,2.0,0.041,30.0,95.0,0.99078,3.27,0.56,11.1,bad
7.0,0.78,1.57,33.9,0.202,101.1,328.0,1.01051,3.55,1.02,12.2,good
7.1,0.18,0.26,1.3,0.041,20.0,71.0,0.9926,3.04,0.74,9.9,bad
10.5,0.26,0.47,1.9,0.078,6.0,24.0,0.9976,3.18,1.04,10.9,good
9.8,0.42,0.48,9.85,0.034,5.0,110.0,0.9958,2.87,0.29,10.0,bad
10.1,0.87,1.03,39.8,0.277,186.5,210.0,1.01287,3.24,1.61,11.8,good
13.3,1.14,0.71,18.7,0.232,197.9,248.3,1.02931,3.07,0.91,11.0,bad
8.6,1.05,1.14,39.4,0.344,135.5,246.2,1.01736,3.26,1.37,11.5,good
9.3,0.84,1.02,49.6,0.281,74.0,250.4,1.01736,2.91,0.93,13.2,bad
6.9,0.43,0.28,9.4,0.056,29.0,183.0,0.99594,3.17,0.43,9.4,bad
7.2,0.62,0.01,2.3,0.065,8.0,46.0,0.99332,3.32,0.51,11.8,bad
10.7,0.39,1.29,49.6,0.31,123.0,284.4,1.02904,3.02,0.55,13.2,good
12.3,1.05,0.72,36.2,0.238,113.6,271.1,1.01585,3.08,1.59,10.9,bad
14.4,0.69,0.78,30.9,0.166,151.1,313.8,1.01872,2.92,1.37,11.2,good
12.3,1.34,1.04,54.6,0.408,171.1,401.9,1.02697,2.94,1.33,10.8,bad
10.1,0.91,1.12,48.6,0.251,162.2,256.6,1.01319,3.19,1.04,10.5,good
11.8,1.18,1.3,36.2,0.448,268.7,346.3,1.02286,3.21,1.28,11.3,bad
6.7,1.31,1.18,46.6,0.198,211.1,358.5,1.02461,3.19,1.15,12.7,bad
13.6,0.82,0.74,60.4,0.291,250.3,215.2,1.01211,3.05,0.93,10.7,good
8.2,0.61,0.52,48.6,0.237,148.6,236.5,1.00611,3.46,1.23,10.5,bad
14.3,1.12,1.4,58.4,0.174,149.6,405.4,1.00515,3.14,0.98,11.6,bad
11.0,0.87,1.07,45.8,0.345,121.6,174.2,1.02512,3.62,1.17,11.8,bad
13.6,0.89,0.73,48.5,0.214,109.8,261.9,1.02101,3.18,1.11,10.7,bad
10.7,1.31,0.91,38.6,0.432,230.7,326.5,1.02148,3.19,1.32,11.2,good
8.3,1.29,0.91,38.4,0.167,202.9,321.7,1.00787,3.3,1.43,11.2,good
9.0,1.42,1.19,38.2,0.326,71.1,225.7,1.01176,3.11,1.27,12.9,bad
11.5,0.37,1.05,38.1,0.284,146.3,232.6,1.01624,2.9,1.59,10.7,good
8.0,0.38,0.06,1.8,0.078,12.0,49.0,0.99625,3.37,0.52,9.9,bad
10.6,1.19,0.58,46.0,0.288,169.2,347.0,1.01685,3.14,1.5,11.5,bad
9.7,1.21,1.17,38.5,0.1,74.3,338.0,1.01866,2.9,1.7,12.7,bad
9.2,1.19,0.87,47.4,0.237,180.1,106.8,1.01616,2.86,1.38,12.1,bad
9.5,1.3,0.73,37.1,0.136,187.5,333.5,1.01403,3.02,1.57,11.6,good
13.7,0.78,1.13,47.6,0.327,241.8,283.1,1.02232,3.23,1.04,10.9,good
9.2,1.1,1.09,55.6,0.325,231.7,260.4,1.00602,3.06,0.9,11.2,bad
13.3,0.62,0.81,53.0,0.157,131.3,353.5,1.01664,2.98,1.45,10.3,good
12.0,0.85,0.45,34.7,0.275,183.7,337.4,1.02046,3.21,1.05,11.4,good
7.4,0.92,1.1,50.9,0.318,40.3,273.8,1.02372,3.32,1.41,13.1,bad
11.0,0.84,0.5,44.9,0.11,111.9,208.1,1.00187,3.18,1.27,12.0,good
13.8,0.89,1.07,43.7,0.112,172.2,314.9,1.00071,3.13,1.2,9.7,good
11.6,1.0,0.84,25.4,0.1,191.9,278.2,1.02724,2.95,0.95,12.9,good
8.2,1.11,1.25,47.9,0.386,184.2,340.5,1.0157,2.91,0.8,10.0,good
9.4,1.32,0.95,48.7,0.316,209.1,297.7,1.03088,2.83,1.36,13.7,good
9.2,0.89,0.84,57.3,0.23,161.4,291.7,1.01485,3.12,1.17,11.9,good
6.8,0.17,0.34,2.0,0.04,38.0,111.0,0.99,3.24,0.45,12.9,bad
11.9,0.76,0.93,48.6,0.284,158.3,326.4,1.02213,2.93,0.87,12.4,good
10.7,0.96,1.1,57.7,0.348,118.9,247.0,1.01599,2.97,0.78,11.4,good
13.2,1.03,1.06,31.5,0.122,242.4,311.1,1.00685,3.07,1.65,12.4,bad
10.8,1.03,0.88,42.7,0.359,176.9,247.0,1.01878,2.96,1.12,12.1,bad
6.3,0.47,0.0,1.4,0.055,27.0,33.0,0.9922,3.45,0.48,12.3,bad
10.4,0.33,0.63,2.8,0.084,5.0,22.0,0.9998,3.26,0.74,11.2,good
5.9,0.88,1.2,35.6,0.417,158.0,298.0,1.03295,3.08,1.58,11.6,bad
7.0,0.44,0.24,12.1,0.056,68.0,210.0,0.99718,3.05,0.5,9.5,bad
11.3,1.04,1.27,43.1,0.423,232.3,280.6,1.02499,3.5,1.2,11.5,good
10.5,1.39,1.24,55.8,0.36,140.8,333.9,1.01099,3.22,0.89,11.8,bad
7.5,0.34,0.35,6.0,0.034,12.0,126.0,0.9924,3.16,0.39,12.0,good
8.8,0.61,0.19,4.0,0.094,30.0,69.0,0.99787,3.22,0.5,10.0,bad
9.2,0.75,1.05,18.9,0.279,179.6,266.3,1.0255,3.27,1.54,12.9,good
6.8,0.32,0.34,6.0,0.05,5.0,129.0,0.9953,3.19,0.4,9.1,bad
11.7,0.47,1.05,50.6,0.372,205.3,259.4,1.02258,3.4,1.14,11.0,good
7.7,0.34,0.28,11.0,0.04,31.0,117.0,0.99815,3.27,0.29,9.2,bad
9.7,0.71,1.2,28.3,0.357,102.7,254.0,1.00428,3.16,1.29,13.2,bad
5.3,0.33,0.3,1.2,0.048,25.0,119.0,0.99045,3.32,0.62,11.3,bad
11.1,0.82,0.53,40.0,0.319,116.9,248.5,1.00696,3.33,1.44,11.5,good
6.1,0.19,0.37,2.6,0.041,24.0,99.0,0.99153,3.18,0.5,10.9,bad
14.9,0.89,0.93,48.2,0.232,227.9,226.6,1.01918,3.0,1.65,10.0,good
12.9,1.03,0.82,35.3,0.121,190.3,381.2,1.0216,2.95,1.45,11.2,good
8.9,0.93,1.12,43.7,0.184,87.6,299.2,1.01108,3.28,0.88,11.1,bad
9.9,0.74,0.8,50.9,0.207,166.7,359.6,1.00369,3.2,1.16,11.7,good
13.4,0.85,1.29,32.5,0.151,111.0,385.0,1.01117,2.94,1.32,12.5,good
7.3,0.21,0.3,10.9,0.037,18.0,112.0,0.997,3.4,0.5,9.6,bad
12.7,1.06,0.76,51.1,0.233,188.9,352.5,1.01542,2.89,1.28,11.6,bad
11.6,0.96,0.61,31.4,0.132,103.4,152.4,1.01948,3.14,1.03,13.7,bad
12.7,0.47,1.25,53.7,0.181,182.1,323.2,1.02599,2.98,1.28,10.4,good
10.4,0.76,0.68,35.5,0.285,130.7,292.4,1.02328,2.93,1.0,11.8,good
13.7,0.9,1.17,46.8,0.343,143.6,242.6,1.02815,3.09,0.87,12.2,good
6.4,0.29,0.57,1.0,0.06,15.0,120.0,0.9924,3.06,0.41,9.5,bad
8.7,0.7,0.24,2.5,0.226,5.0,15.0,0.9991,3.32,0.6,9.0,bad
9.0,0.88,1.24,53.9,0.498,136.7,371.4,1.02899,3.11,1.27,13.2,good
14.5,0.68,0.63,28.7,0.294,198.6,265.8,1.00989,2.97,1.54,10.9,good
10.8,0.59,0.79,30.3,0.325,104.0,289.0,1.00732,3.43,1.57,12.7,bad
6.8,0.18,0.28,9.8,0.039,29.0,113.0,0.99406,3.11,0.45,10.9,good
7.0,1.08,0.87,37.3,0.236,192.7,230.4,1.01819,3.01,1.3,12.6,bad
12.3,0.72,1.29,53.6,0.217,213.3,227.2,1.02898,3.26,1.23,11.6,bad
10.6,0.83,1.21,46.2,0.167,188.3,173.5,1.02283,2.95,1.71,11.5,good
9.6,1.15,0.81,52.5,0.29,194.5,220.8,1.02146,3.23,0.99,11.7,good
11.3,0.84,0.82,36.8,0.257,198.5,228.4,1.02248,2.85,1.46,13.2,good
8.0,0.27,0.33,1.2,0.05,41.0,103.0,0.99002,3.0,0.45,12.4,bad
13.5,0.78,0.95,32.7,0.276,227.7,288.6,1.00558,3.12,1.0,9.2,bad
12.6,1.19,0.9,50.6,0.088,109.5,252.0,1.00936,3.25,0.76,13.2,bad
7.8,0.3,0.29,16.85,0.054,23.0,135.0,0.9998,3.16,0.38,9.0,bad
9.2,0.72,1.32,34.4,0.38,132.2,308.3,1.00826,3.44,1.57,12.0,bad
7.6,0.42,0.25,3.9,0.104,28.0,90.0,0.99784,3.15,0.57,9.1,bad
11.8,1.13,0.83,47.2,0.28,250.0,342.5,1.00407,2.86,1.57,10.9,good
11.1,1.13,0.85,41.6,0.276,205.5,336.7,1.01967,2.91,1.03,10.7,good
8.5,0.66,1.41,47.9,0.427,171.4,375.5,1.01215,3.47,1.11,13.3,good
13.6,0.63,1.33,45.4,0.326,237.6,160.4,1.02104,3.33,0.99,10.5,bad
6.7,0.3,0.29,2.8,0.025,37.0,107.0,0.99159,3.31,0.63,11.3,good
10.8,1.07,1.19,40.1,0.378,212.2,336.3,1.01684,3.22,1.39,12.2,good
10.4,1.36,1.37,50.7,0.204,136.1,259.2,1.01056,3.21,0.58,9.8,bad
11.3,0.8,0.57,30.0,0.097,185.7,322.0,1.01773,3.1,1.27,11.9,good
12.2,1.15,1.41,48.1,0.457,110.7,377.5,1.01872,2.94,1.17,11.5,bad
13.1,0.77,1.24,42.9,0.422,259.5,310.6,1.01255,3.48,0.65,10.4,bad
6.0,0.27,0.31,5.0,0.043,54.0,170.0,0.9924,3.28,0.52,11.0,bad
12.6,1.02,1.03,30.0,0.313,211.5,287.8,1.01398,3.02,1.13,10.7,good
7.6,0.17,0.27,4.6,0.05,23.0,98.0,0.99422,3.08,0.47,9.5,bad
5.8,0.32,0.28,4.3,0.032,46.0,115.0,0.98946,3.16,0.57,13.0,good
7.9,0.34,0.44,6.5,0.027,47.0,126.0,0.99124,2.96,0.37,12.5,bad
10.4,1.13,1.07,49.2,0.152,91.6,313.4,1.02626,2.98,1.6,12.1,bad
8.9,0.97,1.21,53.6,0.191,164.2,278.0,1.02048,3.04,1.25,12.4,bad
12.0,1.12,1.02,40.2,0.267,186.2,206.8,1.008,3.19,1.07,11.7,good
8.5,1.19,0.75,42.9,0.174,115.4,279.0,1.01772,2.98,1.19,12.5,good
9.1,0.75,1.19,45.0,0.279,177.4,341.9,1.02368,3.08,1.35,13.1,bad
11.6,0.41,0.54,1.5,0.095,22.0,41.0,0.99735,3.02,0.76,9.9,good
11.6,0.81,0.83,50.3,0.226,224.1,222.4,1.01733,3.14,0.62,9.8,bad
7.5,0.64,0.0,2.4,0.077,18.0,29.0,0.9965,3.32,0.6,10.0,bad
11.7,0.76,1.38,44.9,0.201,155.9,174.6,1.02242,3.29,1.23,11.4,good
11.3,1.33,0.97,57.7,0.135,143.0,224.3,1.00829,3.41,0.68,11.4,good
14.2,0.91,1.03,55.7,0.339,154.6,382.0,1.00997,3.01,1.5,10.0,bad
12.3,1.34,1.04,54.6,0.408,171.1,401.9,1.02697,2.94,1.33,10.8,bad
12.7,0.44,1.02,39.5,0.226,148.5,179.9,1.02411,3.38,0.68,11.2,bad
7.7,1.14,1.2,40.3,0.133,177.3,311.8,1.01521,3.1,1.55,12.3,bad
6.4,0.31,0.53,8.8,0.057,36.0,221.0,0.99642,3.17,0.44,9.1,bad
12.4,1.16,0.83,49.0,0.233,201.1,275.9,1.00108,3.0,1.46,12.4,good
14.7,0.98,1.12,33.4,0.448,219.1,302.9,1.02359,3.13,0.97,10.1,bad
10.2,0.53,0.97,29.2,0.192,166.3,351.8,1.00505,2.94,1.72,13.5,bad
5.8,0.32,0.38,4.75,0.033,23.0,94.0,0.991,3.42,0.42,11.8,good
10.8,0.53,0.93,20.2,0.194,180.3,273.4,1.0147,3.32,1.36,12.3,bad
12.7,0.88,0.36,18.2,0.107,156.6,45.8,1.01228,3.25,1.29,10.6,bad
10.9,0.53,0.67,43.0,0.202,134.2,157.1,1.00609,3.38,1.37,11.0,good
12.0,0.99,0.72,35.7,0.199,133.6,361.9,1.01537,3.17,1.74,10.7,bad
11.6,1.18,0.76,39.3,0.316,197.5,259.9,1.02121,3.07,1.41,11.7,good
6.7,0.24,0.37,11.3,0.043,64.0,173.0,0.99632,3.08,0.53,9.9,bad
11.7,1.33,1.19,40.8,0.37,236.4,192.4,1.00873,3.19,1.2,9.5,bad
12.7,0.52,0.6,51.1,0.216,106.1,285.5,1.01248,3.43,1.01,12.6,good
10.5,1.05,0.95,47.0,0.454,187.7,341.5,1.00961,3.4,0.71,11.8,good
6.6,0.695,0.0,2.1,0.075,12.0,56.0,0.9968,3.49,0.67,9.2,bad
6.4,0.32,0.23,16.2,0.055,36.0,176.0,0.9986,3.26,0.54,9.1,bad
9.2,1.05,1.03,41.5,0.278,153.7,267.1,1.01265,3.22,1.19,11.1,good
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,good
11.4,0.58,1.28,42.8,0.355,84.2,307.3,1.01514,2.88,1.64,12.5,bad
12.8,0.72,1.03,36.8,0.171,193.9,298.0,1.01542,3.16,1.49,11.7,good
13.1,0.62,0.65,28.4,0.306,132.0,266.8,1.00804,3.45,1.67,11.3,bad
9.4,0.73,0.73,46.9,0.196,220.1,262.9,1.00389,2.95,1.4,10.3,good
9.1,0.22,0.24,2.1,0.078,1.0,28.0,0.999,3.41,0.87,10.3,bad
13.3,0.98,0.47,59.3,0.37,219.6,339.0,1.02486,3.25,1.52,11.1,bad
8.2,0.82,1.0,48.6,0.243,169.8,231.3,1.02816,2.89,1.15,12.7,good
14.3,0.9,0.96,43.9,0.415,239.3,216.7,1.0191,2.96,1.58,10.5,bad
12.9,0.67,0.57,32.3,0.228,165.4,329.9,1.02146,2.98,1.3,10.6,bad
10.5,1.49,1.14,41.8,0.325,262.8,351.8,1.02521,2.95,1.51,10.3,good
10.3,0.92,1.05,48.9,0.169,224.8,240.9,1.02656,2.99,1.4,11.2,good
6.8,0.18,0.28,9.8,0.039,29.0,113.0,0.99406,3.11,0.45,10.9,good
10.9,1.31,1.18,54.1,0.249,166.6,399.5,1.02259,2.93,1.53,10.7,good
10.8,1.02,1.09,41.2,0.105,226.0,284.1,1.0266,3.23,0.99,9.6,bad
11.0,1.22,1.12,48.1,0.305,223.3,235.3,1.01923,3.1,0.74,10.4,good
6.2,0.18,0.49,4.5,0.047,17.0,90.0,0.9919,3.27,0.37,11.6,bad
11.7,0.89,1.13,59.3,0.286,210.7,251.3,1.01551,3.06,1.07,11.4,bad
7.3,0.68,1.25,39.2,0.263,144.9,253.4,1.02103,3.1,1.15,10.8,good
11.3,1.14,0.97,35.2,0.285,195.2,262.0,1.00768,3.04,1.28,11.2,good
7.0,0.87,0.8,56.6,0.298,185.1,274.6,1.01883,3.3,1.39,13.0,bad
9.7,0.295,0.4,1.5,0.073,14.0,21.0,0.99556,3.14,0.51,10.9,bad
7.1,0.32,0.29,4.0,0.038,33.0,170.0,0.99463,3.27,0.64,10.2,bad
10.6,0.95,1.06,43.5,0.285,207.1,308.1,1.02056,3.29,1.21,11.7,bad
13.4,0.87,0.92,22.7,0.358,184.0,231.2,1.01273,3.49,1.41,12.5,good
14.0,0.87,1.19,52.9,0.113,141.6,365.3,1.016,2.99,1.16,10.4,bad
13.4,1.04,0.81,47.0,0.303,156.4,294.6,1.00571,3.21,0.93,12.1,bad
10.2,0.93,1.29,49.0,0.231,250.9,298.7,1.01942,3.14,1.34,10.6,good
12.1,1.16,0.87,48.7,0.33,186.8,391.5,1.01911,2.98,1.47,10.9,good
6.7,0.24,0.3,3.85,0.042,105.0,179.0,0.99189,3.04,0.59,11.3,good
10.3,1.18,0.92,54.0,0.172,171.5,294.4,1.00897,3.27,1.12,12.2,good
11.7,1.47,1.24,49.7,0.209,138.3,192.6,1.01275,3.14,0.9,11.0,good
9.8,0.85,0.82,37.5,0.161,89.4,316.9,1.02555,3.37,1.03,11.3,bad
13.1,1.21,0.67,47.3,0.324,192.9,291.6,1.0074,3.02,1.14,12.6,good
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,bad
6.4,0.26,0.42,9.7,0.044,30.0,140.0,0.9962,3.18,0.47,9.1,bad
12.8,1.3,1.46,50.8,0.27,194.3,335.7,1.00561,3.32,1.35,11.8,bad
9.6,1.15,0.81,52.5,0.29,194.5,220.8,1.02146,3.23,0.99,11.7,good
10.1,0.28,0.46,1.8,0.05,5.0,13.0,0.9974,3.04,0.79,10.2,bad
7.2,0.47,0.16,5.9,0.048,14.0,125.0,0.99428,3.09,0.49,9.8,bad
12.5,1.1,0.98,46.8,0.206,156.8,276.6,1.02041,3.32,0.89,11.1,good
7.4,1.07,1.24,40.7,0.126,155.1,348.6,1.01002,3.28,1.16,11.5,bad
8.6,0.34,0.36,1.4,0.045,11.0,119.0,0.99556,3.17,0.47,9.4,bad
12.0,0.81,1.15,44.2,0.359,144.0,110.7,1.01993,2.93,1.24,10.2,good
9.9,0.66,1.0,41.3,0.271,96.9,294.7,1.02249,3.15,0.84,12.3,bad
8.0,0.61,0.38,12.1,0.301,24.0,220.0,0.9993,2.94,0.48,9.2,bad
11.2,1.22,1.2,39.4,0.217,206.3,314.6,1.01379,3.32,1.36,11.3,good
11.9,0.71,0.98,51.4,0.354,200.8,317.2,1.02728,3.06,1.09,10.0,good
7.3,0.18,0.65,1.4,0.046,28.0,157.0,0.9946,3.33,0.62,9.4,bad
12.2,0.57,1.25,51.9,0.249,160.4,366.2,1.02074,2.91,0.9,12.5,bad
6.2,0.3,0.2,6.6,0.045,42.0,170.0,0.9944,3.36,0.45,10.4,bad
8.1,1.09,1.27,36.6,0.183,141.5,138.1,1.02798,2.94,1.5,9.7,bad
9.9,0.73,1.16,59.2,0.166,114.0,267.0,1.00388,3.29,1.59,11.0,bad
11.0,0.96,1.13,47.0,0.202,162.1,246.2,1.00827,2.94,1.48,10.6,bad
8.9,0.67,0.69,35.0,0.317,96.2,168.6,1.01319,3.17,1.41,12.7,bad
10.7,0.4,0.37,1.9,0.081,17.0,29.0,0.99674,3.12,0.65,11.2,bad
7.9,0.58,0.23,2.3,0.076,23.0,94.0,0.99686,3.21,0.58,9.5,bad
7.7,0.12,0.32,1.4,0.06,47.0,150.0,0.9952,3.37,0.42,9.2,bad
11.5,1.13,0.79,46.9,0.291,117.8,334.2,1.02663,2.93,1.55,11.4,good
6.8,0.64,0.0,2.7,0.123,15.0,33.0,0.99538,3.44,0.63,11.3,bad
6.5,0.32,0.23,8.5,0.051,20.0,138.0,0.9943,3.03,0.42,10.7,bad
6.9,0.32,0.13,7.8,0.042,11.0,117.0,0.996,3.23,0.37,9.2,bad
6.6,0.27,0.29,5.3,0.045,57.0,189.0,0.9953,3.31,0.79,9.8,bad
6.1,0.32,0.24,1.5,0.036,38.0,124.0,0.9898,3.29,0.42,12.4,good
8.6,1.07,0.88,50.8,0.488,153.8,220.2,1.01988,3.18,0.91,12.1,good
7.4,0.18,0.36,13.1,0.056,72.0,163.0,1.0,3.42,0.35,9.1,bad
10.8,1.06,0.95,34.9,0.236,145.3,342.6,1.0221,3.13,1.16,12.2,good
12.3,1.29,1.11,43.8,0.285,202.3,203.9,1.012,2.97,1.17,12.0,bad
6.1,1.24,1.52,53.1,0.402,171.1,318.2,1.0267,3.33,0.8,12.8,bad
7.5,0.21,0.34,1.2,0.06,26.0,111.0,0.9931,3.51,0.47,10.7,bad
12.6,1.27,1.25,47.5,0.216,212.1,218.2,1.01128,3.23,1.13,10.9,bad
10.8,1.4,1.39,53.9,0.502,211.6,315.0,1.01889,3.22,1.33,10.3,good
6.1,1.09,0.83,44.7,0.164,153.5,263.6,1.01645,3.01,0.99,12.8,good
7.8,0.28,0.22,1.4,0.056,24.0,130.0,0.9944,3.28,0.48,9.5,bad
8.7,1.25,1.23,38.4,0.197,240.8,219.4,1.01517,3.02,1.51,10.9,good
5.9,0.24,0.34,2.0,0.037,40.0,108.0,0.98948,3.19,0.5,12.3,bad
10.4,1.38,0.96,51.9,0.299,85.4,167.3,1.02714,2.97,1.19,12.8,bad
14.0,0.64,1.09,40.2,0.41,151.9,266.0,1.02081,3.37,1.38,11.0,bad
13.2,0.73,1.22,53.5,0.383,191.1,239.8,1.01801,3.35,1.25,12.0,good
12.8,0.95,0.74,42.5,0.443,174.7,257.0,1.01655,3.04,1.32,10.7,bad
6.9,0.27,0.41,1.7,0.047,6.0,134.0,0.9929,3.15,0.69,11.4,bad
10.8,0.97,0.73,57.0,0.303,230.3,329.1,1.01379,3.05,1.31,12.2,bad
11.2,1.26,0.59,51.0,0.174,163.1,251.9,1.01671,3.0,1.35,11.2,good
14.7,1.39,1.5,21.2,0.406,241.2,306.9,1.01718,3.21,1.16,9.6,bad
6.4,0.17,0.34,13.4,0.044,45.0,139.0,0.99752,3.06,0.43,9.1,bad
11.9,0.38,0.51,2.0,0.121,7.0,20.0,0.9996,3.24,0.76,10.4,bad
13.0,1.04,0.38,46.5,0.352,206.7,251.0,1.00928,3.11,1.55,10.3,bad
11.2,0.72,0.76,39.1,0.298,189.1,240.7,1.01702,3.35,1.15,11.8,good
13.5,1.09,1.38,30.1,0.2,212.5,413.3,1.01628,3.1,1.8,13.7,bad
11.5,0.8,1.18,46.0,0.432,99.5,272.3,1.02874,3.04,1.23,10.8,bad
8.1,0.87,0.0,2.2,0.084,10.0,31.0,0.99656,3.25,0.5,9.8,bad
7.1,0.27,0.31,18.2,0.046,55.0,252.0,1.0,3.07,0.56,8.7,bad
10.1,0.96,1.22,46.9,0.252,176.4,301.0,1.02872,3.36,1.31,11.1,bad
9.0,0.38,1.31,23.0,0.327,151.0,221.7,1.00322,3.43,1.47,12.6,bad
9.5,0.57,1.18,52.4,0.368,206.1,206.4,1.02226,3.39,1.38,10.1,bad
13.5,0.99,1.34,52.9,0.209,143.2,266.8,1.01997,3.14,0.9,9.4,bad
8.2,1.11,1.31,43.6,0.273,173.5,313.2,1.00985,3.35,0.94,12.3,good
10.3,1.08,1.43,36.8,0.289,219.7,373.8,1.01409,2.93,1.18,12.2,good
10.4,1.05,0.74,24.7,0.144,167.1,292.2,1.01516,3.21,1.08,13.5,good
10.3,1.19,0.86,47.2,0.211,57.3,347.7,1.02079,3.01,0.91,11.9,bad
14.2,0.91,0.89,59.8,0.407,207.7,310.4,1.02549,3.02,1.12,9.8,bad
9.9,1.0,1.17,35.5,0.199,206.7,224.5,1.02429,3.47,1.2,13.2,good
12.6,1.01,1.04,29.9,0.287,157.2,193.3,1.01865,3.15,1.02,10.8,good
6.1,0.16,0.34,6.1,0.034,31.0,114.0,0.99365,3.32,0.58,10.13333333,good
8.1,1.12,1.11,51.2,0.404,173.6,345.6,1.02307,3.32,0.83,11.5,good
12.2,0.71,0.9,50.8,0.186,167.7,318.7,1.00686,3.31,1.24,11.0,bad
14.7,1.31,1.14,47.4,0.184,222.5,217.2,1.01711,2.99,1.31,10.2,bad
12.2,1.2,1.14,29.8,0.111,218.6,327.4,1.01969,3.21,1.19,11.8,bad
8.4,0.83,0.66,33.7,0.253,215.7,324.4,1.02136,3.08,1.42,13.8,bad
10.7,0.77,1.14,41.9,0.473,54.3,242.5,1.01028,3.05,1.28,12.3,good
6.1,0.27,0.44,6.7,0.041,61.0,230.0,0.99505,3.12,0.4,8.9,bad
7.0,0.5,0.14,1.8,0.078,10.0,23.0,0.99636,3.53,0.61,10.4,bad
7.1,0.24,0.41,17.8,0.046,39.0,145.0,0.9998,3.32,0.39,8.7,bad
13.6,1.11,1.08,39.6,0.141,182.0,332.3,1.0243,3.06,1.69,12.5,bad
13.4,0.76,1.2,59.6,0.28,262.0,338.8,1.02587,2.83,0.74,10.1,good
8.7,1.01,1.01,58.1,0.122,133.6,260.5,1.01763,2.97,0.69,11.6,bad
12.5,0.91,1.03,56.2,0.472,151.3,307.8,1.01749,3.25,1.05,11.0,good
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.46,8.9,good
8.8,1.37,1.2,43.0,0.491,217.4,348.2,1.01597,3.27,1.26,13.4,good
13.1,1.16,1.04,54.5,0.48,202.2,276.0,1.01421,2.98,1.45,9.5,bad
11.9,1.05,1.0,48.1,0.225,226.9,285.0,1.02143,2.93,1.62,12.6,bad
7.9,0.68,1.08,40.9,0.193,174.3,243.0,1.00921,3.52,1.38,12.0,bad
11.1,0.95,0.92,47.2,0.29,186.4,351.0,1.00923,3.13,1.29,11.0,bad
8.1,0.91,1.44,34.2,0.359,237.8,138.3,1.02438,3.29,1.31,10.8,good
13.1,0.76,0.9,52.4,0.505,169.0,330.7,1.02604,3.16,0.88,10.9,good
10.9,0.98,0.79,40.3,0.225,200.3,219.2,1.02319,2.93,1.4,10.6,bad
11.8,0.96,1.15,33.0,0.356,169.6,95.7,1.01246,3.59,0.95,11.8,good
10.6,0.79,1.03,29.5,0.278,186.3,162.8,0.99933,3.13,1.65,11.8,good
11.3,1.01,1.21,30.6,0.285,244.8,249.2,1.02487,3.12,1.72,10.1,good
